Date,Merchant,Amount_EUR,Amount_PLN,Category,Notes,City,Country
2026/03/13,The Copenhagen Metro,"-3,22 €","-13,74",Transport,Metro,København,Denmark
2026/03/13,MAX Burgers,"-4,03 €","-17,20",Food,Dining,København,Denmark
2026/03/14,SANIBOX,"-0,94 €","-4,01",Necessities,WC,København,Denmark
2026/03/14,Lidl,"-5,01 €","-21,38",Groceries,Shopping,København,Denmark
2026/03/14,Uber,"-3,60 €","-15,36",Transport,Ride Share,København,Denmark
2026/03/14,Lidl,"-2,79 €","-11,91",Groceries,Shopping,København,Denmark
2026/03/14,McDonald's,"-1,88 €","-8,02",Food,Dining,København,Denmark
2026/03/14,Vaasttrafik,"-3,47 €","-14,81",Transport,Train,København,Denmark
2026/03/15,Lidl,"-2,50 €","-10,67",Groceries,Shopping,København,Denmark
2026/03/15,Lidl,"-1,41 €","-6,02",Groceries,Shopping,København,Denmark
2026/03/15,MAX Burgers,"-2,82 €","-12,04",Food,Dining,København,Denmark
2026/03/15,MAX Burgers,"-8,83 €","-37,68",Food,Dining,København,Denmark
2026/03/16,DSB,"-4,03 €","-17,20",Transport,Train,København,Denmark
2026/03/16,MPK Kraków,"-1,89 €",-8,Transport,Train,Kraków,Poland
2026/03/16,Biedronka,"-7,23 €","-30,71",Groceries,Shopping,Kraków,Poland
2026/03/16,Studenciak,"-2,71 €","-11,49",Groceries,Shopping,Kraków,Poland
